,,,,,,,,,,,
concentration,full_profs_m,full_profs_f,assoc_m,assoc_f,asst_m,asst_f,lec_precep_adj_m,lec_precep_adj_f,prof_of_practice_m,prof_of_practic_f,division
"Theater, Dance & Media",0,2,0,0,1,0,0,0,0,1,Arts & Humanities
"Women, Gender, & Sexuality",1,5,0,0,0,1,1,9,1,0,Social Sciences
History of Science,5,8,2,1,3,1,2,5,0,0,Social Sciences
Romance Langs & Lits,6,9,1,1,1,2,2,11,0,0,Arts & Humanities
Music,6,8,0,0,1,0,5,4,0,2,Arts & Humanities
African & African American Studies,19,15,1,0,1,0,0,0,1,0,Social Sciences
History,23,18,0,1,0,0,4,2,0,0,Social Sciences
History of Art and Architecture,11,7,0,1,1,1,0,1,0,0,Arts & Humanities
Psychology,11,7,1,2,4,2,1,0,0,0,Social Sciences
Sociology,11,7,2,0,0,1,0,0,0,0,Social Sciences
East Asian Langs & Civs,13,8,1,0,1,2,4,10,0,0,Arts & Humanities
English,20,11,3,2,1,3,4,3,2,1,Arts & Humanities
Religion,33,17,2,1,1,2,3,2,0,0,Arts & Humanities
Celtic Langs & Lits,2,1,0,0,0,1,0,0,0,0,Arts & Humanities
Human Evolutionary Biology,4,2,1,0,0,1,0,0,0,0,Science
Slavic Langs & Lits,4,2,0,0,0,2,2,7,0,0,Arts & Humanities
Statistics,6,3,1,0,2,0,2,0,2,0,Science
Visual & Environmental Studies,7,3,0,0,2,2,1,3,1,0,Arts & Humanities
Materials Science & Mech Eng,10,4,1,0,1,0,0,0,1,0,SEAS
Folklore & Mythology,23,8,2,0,0,4,1,3,1,0,Arts & Humanities
Computer Science,18,6,3,1,4,1,1,0,2,0,SEAS
Philosophy,12,4,1,0,3,1,1,1,0,0,Arts & Humanities
Germanic Langs & Lits,13,4,0,0,0,2,0,2,0,0,Arts & Humanities
Comparative Literature,18,5,0,0,1,0,0,4,0,0,Arts & Humanities
Government,26,7,0,0,4,0,1,1,0,0,Social Sciences
Molecular & Cellular Biology,27,7,2,1,1,0,0,0,1,0,Science
Organismic & Evolutionary Biology,27,7,1,0,0,4,3,1,0,0,Science
Anthropology,16,4,3,1,1,1,1,2,0,0,Social Sciences
South Asian Studies,10,2,0,0,0,0,4,1,0,0,Arts & Humanities
The Classics,10,2,1,0,2,1,2,1,0,2,Arts & Humanities
Stem Cell & Regenerative Biology,12,2,2,0,1,1,0,0,0,0,Science
Applied Math,14,2,1,0,4,1,0,1,0,0,SEAS
Electrical Eng,7,1,1,0,0,2,0,0,0,0,SEAS
Social Studies,7,1,0,1,1,0,5,6,0,0,Social Sciences
Physics,50,7,2,0,0,4,10,3,0,0,Science
Chemistry & Chemical Biology,22,3,0,1,0,0,7,2,0,0,Science
Earth & Planetary Sciences,22,3,0,0,2,2,0,0,0,0,Science
Astronomy,15,2,0,1,0,0,2,0,0,0,Science
Biomedical Engineering,15,2,2,0,1,0,0,0,1,0,SEAS
Near Eastern Langs & Civs,11,1,0,0,2,1,8,7,1,0,Arts & Humanities
Economics,40,3,1,0,2,2,3,2,0,1,Social Sciences
Environmental Science & Eng,13,0,1,1,1,0,0,0,0,0,SEAS
Linguistics,5,0,1,1,0,1,2,0,0,0,Arts & Humanities
Math,19,0,0,0,0,0,20,13,0,1,Science
Total,644,220,40,17,50,49,102,107,14,8,